*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2017 049   142   52.39  14.44    0.89  52.34   6.72   6.24   4.40   4.20   6.17   5.66  21.54  16.30
 2017 050   143   48.49  21.73    1.28  47.09   6.71   6.24   4.38   4.18   5.92   5.43  24.44  20.09
 2017 051   144   46.46  24.06    1.39  44.68   6.71   6.24   4.36   4.17   5.83   5.34  25.31  19.78
 2017 052   145   51.73  16.43    1.00  51.50   6.71   6.24   4.35   4.15   5.95   5.46  23.89  19.99
 2017 053   146   52.18   9.84    0.61  52.18   6.70   6.24   4.33   4.14   6.22   5.69  20.75  17.67
 2017 054   147   51.33  17.23    1.04  51.03   6.69   6.24   4.31   4.12   5.95   5.45  23.62  18.59
 2017 055   148   47.43  22.04    1.28  45.97   6.69   6.24   4.29   4.11   5.68   5.20  26.54  22.87
 2017 056   149   47.63  22.43    1.31  46.25   6.68   6.24   4.28   4.09   5.89   5.39  24.11  20.53
 2017 057   150   45.27  25.60    1.47  43.61   6.68   6.23   4.26   4.07   5.91   5.41  23.64  18.78
 2017 058   151   47.24  22.17    1.28  45.84   6.69   6.25   4.25   4.06   5.63   5.15  26.85  21.43
 2017 059   152   48.35  20.72    1.20  47.23   6.69   6.26   4.23   4.05   5.51   5.04  28.12  23.56
 2017 060   153   45.95  23.42    1.33  44.41   6.70   6.26   4.22   4.04   5.54   5.06  27.78  22.94
 2017 061   154   45.86  24.26    1.38  44.34   6.71   6.27   4.21   4.03   5.73   5.24  25.71  21.50
 2017 062   155   45.42  25.85    1.48  43.91   6.71   6.27   4.20   4.02   6.03   5.51  22.34  18.16
 2017 063   156   45.39  26.15    1.51  43.90   6.75   6.31   4.20   4.01   6.03   5.50  21.90  16.08
 2017 064   157   47.52  24.17    1.39  46.22   6.81   6.36   4.20   4.01   6.11   5.57  22.40  18.70
 2017 065   158   49.61  22.19    1.29  48.76   6.82   6.38   4.19   4.00   6.11   5.57  22.54  18.10
 2017 066   159   48.51  23.20    1.33  47.39   6.84   6.39   4.18   4.00   5.96   5.43  24.28  18.72
 2017 067   160   49.22  22.45    1.29  48.23   6.87   6.41   4.18   3.99   5.85   5.32  25.73  20.66
 2017 068   161   48.68  22.91    1.31  47.57   6.88   6.42   4.17   3.98   5.76   5.24  26.77  21.34
 2017 069   162   46.05  26.28    1.49  44.68   6.89   6.43   4.16   3.97   5.98   5.44  24.30  20.30
 2017 070   163   45.56  26.60    1.49  44.23   6.90   6.45   4.15   3.96   5.77   5.24  26.69  21.47
 2017 071   164   52.56  17.47    1.03  52.53   6.92   6.46   4.14   3.95   5.99   5.44  24.44  21.11
 2017 072   165   52.79  11.40    0.68  52.79   6.91   6.46   4.12   3.93   6.14   5.57  22.51  19.70
 2017 073   166   47.13  26.69    1.52  45.85   6.90   6.46   4.10   3.91   6.01   5.45  18.82  16.65
 2017 074   167   45.54  26.15    1.51  44.25   6.92   6.48   4.09   3.91   3.83   3.47  14.09   9.59
 2017 075   168   45.41  24.77    1.50  44.18   7.05   6.59   4.11   3.92   3.64   3.30  16.07   9.66
 2017 076   169   46.70  27.28    1.57  45.43   7.13   6.67   4.12   3.93   5.81   5.27  19.86  13.42
 2017 077   170   46.11  28.94    1.64  44.90   7.21   6.74   4.13   3.94   6.36   5.77  21.91  15.96

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:54

*RUN   3        : Brilliance                CRGRO048 UFBA1601    2
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1601 SR 2016 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  2   : Brilliance                CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2016 274     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  29.21  26.02
 2016 275     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.06  26.16
 2016 276     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  31.03  26.89
 2016 277     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.14  25.45
 2016 278     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.25  27.00
 2016 279     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.56  27.13
 2016 280     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  29.06  26.44
 2016 281     8    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  26.03  24.91
 2016 282     9    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.80  25.70
 2016 283    10    0.31   0.16    0.01   0.27   7.29   7.27   4.59   4.58   7.84   7.82  28.27  24.16
 2016 284    11    3.95   1.85    0.10   3.62   7.27   7.25   4.58   4.57   8.15   8.13  25.76  21.82
 2016 285    12    4.66   1.50    0.09   4.59   7.25   7.23   4.57   4.56   8.11   8.09  25.89  22.79
 2016 286    13    4.46   1.76    0.10   4.22   7.22   7.20   4.55   4.54   7.89   7.87  27.40  23.96
 2016 287    14    4.42   1.89    0.10   4.05   7.20   7.18   4.54   4.53   7.74   7.72  28.33  24.96
 2016 288    15    4.46   2.01    0.11   4.02   7.19   7.17   4.53   4.52   7.82   7.80  27.61  24.42
 2016 289    16    5.19   1.46    0.09   5.14   7.17   7.15   4.52   4.51   7.70   7.68  28.37  25.11
 2016 290    17    5.03   1.75    0.10   4.81   7.15   7.13   4.51   4.50   7.70   7.68  28.19  24.80
 2016 291    18    4.86   2.00    0.11   4.43   7.12   7.10   4.50   4.49   7.63   7.61  28.52  24.81
 2016 292    19    5.26   1.84    0.11   4.99   7.07   7.05   4.49   4.48   7.62   7.60  28.23  24.18
 2016 293    20    5.48   2.23    0.12   4.97   6.89   6.87   4.48   4.47   7.50   7.48  27.62  23.57
 2016 294    21    5.96   2.42    0.13   5.43   6.73   6.71   4.48   4.47   7.35   7.33  27.36  23.05
 2016 295    22    6.53   2.54    0.14   6.04   6.59   6.56   4.48   4.47   7.29   7.26  26.59  22.35
 2016 296    23    6.89   3.42    0.18   5.96   6.46   6.43   4.47   4.46   7.67   7.63  21.97  17.52
 2016 297    24    7.43   3.58    0.19   6.47   6.47   6.44   4.48   4.46   7.47   7.44  21.90  15.70
 2016 298    25    7.95   3.74    0.20   6.98   6.52   6.49   4.48   4.47   7.54   7.50  23.79  19.03
 2016 299    26    8.72   3.64    0.20   7.86   6.50   6.47   4.47   4.46   7.42   7.38  24.59  20.05
 2016 300    27    9.29   4.09    0.23   8.49   6.44   6.40   4.46   4.45   7.15   7.10  26.38  22.18
 2016 301    28   10.24   3.74    0.22   9.78   6.33   6.29   4.46   4.45   7.03   6.98  26.42  22.67
 2016 302    29   10.99   3.92    0.23  10.54   6.21   6.16   4.46   4.44   6.89   6.83  26.44  23.28
 2016 303    30   11.82   3.99    0.24  11.46   6.09   6.04   4.46   4.44   6.73   6.67  26.70  23.30
 2016 304    31   12.37   4.63    0.27  11.70   5.98   5.93   4.45   4.43   6.52   6.46  27.52  23.65
 2016 305    32   12.98   5.79    0.32  11.78   5.90   5.84   4.46   4.43   6.52   6.45  26.68  22.57
 2016 306    33   13.98   5.61    0.32  13.06   5.86   5.79   4.46   4.43   6.53   6.45  26.12  21.40
 2016 307    34   15.19   4.93    0.30  14.80   5.83   5.76   4.45   4.42   6.40   6.32  27.06  22.96
 2016 308    35   15.72   5.76    0.34  14.98   5.76   5.68   4.45   4.42   6.41   6.32  26.23  22.61
 2016 309    36   16.53   6.20    0.36  15.67   5.69   5.61   4.45   4.41   6.33   6.23  26.34  21.69
 2016 310    37   17.17   7.30    0.42  15.78   5.67   5.58   4.45   4.41   6.37   6.27  25.62  22.00
 2016 311    38   18.19   7.37    0.43  16.92   5.63   5.54   4.45   4.41   6.31   6.20  25.74  21.65
 2016 312    39   19.61   6.53    0.40  19.10   5.61   5.50   4.45   4.41   6.43   6.31  24.27  20.42
 2016 313    40   19.93   8.23    0.47  18.44   5.57   5.46   4.44   4.40   6.28   6.15  25.36  21.18
 2016 314    41   21.17   7.54    0.45  20.31   5.56   5.45   4.45   4.40   6.26   6.12  25.48  21.16
 2016 315    42   21.70   9.58    0.55  19.78   5.54   5.42   4.44   4.39   6.36   6.21  24.17  19.69
 2016 316    43   22.62   9.65    0.56  20.82   5.57   5.44   4.45   4.39   6.45   6.29  23.64  18.79
 2016 317    44   23.47   9.89    0.57  21.61   5.62   5.48   4.45   4.39   6.41   6.24  24.60  19.17
 2016 318    45   24.36   9.63    0.57  22.77   5.66   5.51   4.45   4.39   6.42   6.24  25.03  19.16
 2016 319    46   26.43   4.67    0.30  26.43   5.69   5.54   4.45   4.39   6.83   6.63  21.25  19.32
 2016 320    47   26.66   7.60    0.49  26.41   5.63   5.47   4.42   4.36   6.86   6.65  20.00  16.65
 2016 321    48   26.25  10.78    0.64  24.40   5.63   5.47   4.44   4.37   6.66   6.45  22.19  17.32
 2016 322    49   26.94  11.87    0.69  24.59   5.67   5.50   4.44   4.37   6.68   6.46  22.40  16.89
 2016 323    50   27.65  11.49    0.68  25.56   5.72   5.55   4.45   4.38   6.62   6.41  23.70  18.86
 2016 324    51   28.36  11.33    0.68  26.51   5.75   5.56   4.45   4.37   6.70   6.47  23.17  18.48
 2016 325    52   28.98  13.21    0.78  26.41   5.77   5.58   4.45   4.37   6.10   5.89  17.47  13.29
 2016 326    53   29.64  12.50    0.77  27.11   5.85   5.65   4.46   4.38   5.22   5.03  17.46  11.46
 2016 327    54   30.22  12.91    0.79  27.75   5.92   5.71   4.47   4.38   6.40   6.17  20.28  13.68
 2016 328    55   31.29  10.69    0.67  30.21   5.98   5.76   4.47   4.38   6.89   6.63  24.01  18.11
 2016 329    56   31.73  10.98    0.68  30.50   5.99   5.77   4.47   4.37   6.79   6.53  25.02  20.31
 2016 330    57   32.04  12.18    0.74  30.15   5.97   5.74   4.46   4.37   6.71   6.44  25.60  21.36
 2016 331    58   33.18  11.20    0.70  32.09   5.94   5.71   4.46   4.36   6.88   6.58  23.74  19.57
 2016 332    59   33.55  12.43    0.77  31.94   5.93   5.68   4.46   4.36   7.00   6.69  22.34  17.19
 2016 333    60   35.01  10.12    0.65  34.54   5.95   5.69   4.46   4.36   6.98   6.67  22.71  18.34
 2016 334    61   34.62  12.58    0.77  32.81   5.93   5.67   4.46   4.35   6.61   6.30  26.19  21.96
 2016 335    62   36.49   9.23    0.60  36.21   5.91   5.64   4.46   4.35   6.69   6.36  25.15  22.16
 2016 336    63   36.35  11.50    0.73  35.32   5.86   5.58   4.45   4.33   6.56   6.23  25.80  22.41
 2016 337    64   36.41  14.46    0.89  34.16   5.82   5.54   4.45   4.33   6.90   6.54  22.04  18.08
 2016 338    65   37.02  14.65    0.90  34.69   5.83   5.54   4.46   4.34   6.83   6.46  22.92  17.66
 2016 339    66   37.59  14.29    0.87  35.32   5.86   5.56   4.46   4.34   6.55   6.19  25.92  21.46
 2016 340    67   39.03  11.26    0.72  38.27   5.84   5.54   4.46   4.33   6.41   6.05  27.17  23.12
 2016 341    68   40.36   6.15    0.41  40.36   5.82   5.50   4.45   4.32   6.57   6.19  25.25  21.97
 2016 342    69   39.12  15.05    0.93  36.85   5.78   5.47   4.43   4.30   6.79   6.39  22.70  19.18
 2016 343    70   40.63  12.05    0.79  40.01   5.78   5.46   4.46   4.33   7.03   6.61  19.92  16.61
 2016 344    71   41.36  10.97    0.72  41.08   5.78   5.46   4.46   4.32   5.60   5.26  15.51  13.13
 2016 345    72   40.32  15.92    1.00  37.89   5.81   5.48   4.46   4.33   6.99   6.56  20.02  14.98
 2016 346    73   41.79  11.86    0.77  41.22   5.85   5.51   4.48   4.34   6.86   6.44  22.82  18.24
 2016 347    74   41.81  12.57    0.81  40.88   5.84   5.50   4.47   4.32   6.61   6.19  25.26  21.38
 2016 348    75   41.65  14.44    0.90  39.75   5.82   5.48   4.46   4.32   6.51   6.10  25.90  21.45
 2016 349    76   42.18  14.42    0.91  40.47   5.81   5.46   4.46   4.32   6.65   6.21  24.49  20.98
 2016 350    77   42.36  15.62    0.98  40.24   5.80   5.44   4.46   4.31   6.83   6.38  22.51  18.40
 2016 351    78   42.57  16.35    1.02  40.08   5.81   5.45   4.46   4.31   6.77   6.31  23.28  17.70
 2016 352    79   43.14  14.92    0.94  41.24   5.84   5.47   4.47   4.32   6.57   6.12  25.58  20.81
 2016 353    80   44.35  11.55    0.76  43.83   5.84   5.47   4.46   4.31   6.37   5.93  27.50  24.03
 2016 354    81   43.78  14.17    0.90  42.12   5.83   5.46   4.45   4.29   6.31   5.87  27.95  23.90
 2016 355    82   45.39   9.52    0.64  45.30   5.82   5.44   4.45   4.29   6.80   6.33  22.97  20.87
 2016 356    83   45.65   8.98    0.60  45.63   5.79   5.42   4.43   4.27   6.73   6.25  18.89  16.65
 2016 357    84   44.04  16.94    1.05  41.49   5.79   5.42   4.42   4.26   6.76   6.27  23.08  18.13
 2016 358    85   44.29  16.87    1.05  41.74   5.81   5.43   4.44   4.28   6.67   6.19  24.23  19.22
 2016 359    86   44.57  16.14    1.00  42.24   5.82   5.44   4.44   4.28   6.49   6.02  26.18  21.23
 2016 360    87   44.86  15.52    0.97  42.83   5.83   5.44   4.43   4.27   6.44   5.98  26.63  22.55
 2016 361    88   45.03  15.46    0.97  43.05   5.82   5.44   4.43   4.27   6.43   5.96  26.69  22.72
 2016 362    89   45.22  15.47    0.97  43.30   5.81   5.43   4.42   4.26   6.44   5.97  26.47  22.29
 2016 363    90   45.20  16.32    1.01  42.90   5.81   5.42   4.42   4.26   6.44   5.96  26.46  21.95
 2016 364    91   45.35  16.97    1.06  43.00   5.81   5.42   4.41   4.25   6.71   6.21  23.77  19.59
 2016 365    92   45.95  15.71    1.01  44.47   5.81   5.43   4.41   4.25   4.30   3.98  13.37   9.65
 2016 366    93   45.59  16.86    1.12  42.83   5.89   5.49   4.44   4.28   5.25   4.86  19.59  12.10
 2017 001    94   46.28  16.00    1.01  44.50   5.94   5.54   4.45   4.29   6.77   6.27  24.75  19.10
 2017 002    95   46.24  16.12    1.01  44.23   5.95   5.55   4.45   4.28   6.53   6.04  27.10  22.49
 2017 003    96   46.92  14.80    0.95  45.68   5.95   5.54   4.44   4.27   6.65   6.15  25.94  22.32
 2017 004    97   46.78  16.40    1.05  45.20   5.94   5.53   4.43   4.26   7.14   6.59  21.08  16.90
 2017 005    98   46.69  17.33    1.09  44.72   5.95   5.54   4.44   4.27   7.15   6.60  21.13  17.01
 2017 006    99   46.54  18.11    1.13  44.14   5.97   5.56   4.44   4.27   6.98   6.45  22.87  17.21
 2017 007   100   48.93   5.16    0.34  48.93   5.99   5.58   4.45   4.27   5.66   5.23  17.96  11.96
 2017 008   101   46.51  14.46    1.00  43.53   5.99   5.58   4.44   4.26   2.22   2.05   9.97   5.75
 2017 009   102   46.85  18.22    1.17  44.32   6.07   5.65   4.48   4.31   4.86   4.50  16.10  10.47
 2017 010   103   47.88  16.89    1.08  46.52   6.13   5.70   4.49   4.31   6.83   6.32  18.57  13.84
 2017 011   104   47.76  17.44    1.10  46.07   6.16   5.73   4.49   4.31   7.36   6.80  21.55  16.61
 2017 012   105   47.10  19.93    1.22  44.35   6.17   5.74   4.48   4.30   7.15   6.61  23.67  18.60
 2017 013   106   49.18  14.37    0.93  48.60   6.19   5.75   4.48   4.30   7.26   6.71  22.80  19.71
 2017 014   107   48.75  15.48    0.99  47.82   6.18   5.75   4.46   4.28   7.13   6.59  23.88  19.78
 2017 015   108   48.98  15.13    0.97  48.22   6.17   5.74   4.46   4.28   7.21   6.66  23.09  19.15
 2017 016   109   49.12  14.62    0.94  48.48   6.16   5.74   4.45   4.27   7.11   6.57  23.94  19.43
 2017 017   110   47.62  18.08    1.12  45.62   6.16   5.74   4.44   4.26   7.00   6.47  24.91  20.33
 2017 018   111   47.55  18.47    1.14  45.54   6.15   5.74   4.44   4.26   7.16   6.62  23.33  18.44
 2017 019   112   47.13  19.37    1.18  44.71   6.15   5.74   4.43   4.26   7.05   6.52  24.34  18.65
 2017 020   113   47.97  17.23    1.07  46.47   6.16   5.75   4.43   4.26   7.05   6.52  24.46  19.60
 2017 021   114   46.95  19.42    1.18  44.48   6.16   5.75   4.42   4.25   6.93   6.41  25.53  20.94
 2017 022   115   49.80   9.79    0.64  49.80   6.15   5.75   4.41   4.24   6.91   6.40  25.61  22.47
 2017 023   116   48.09  17.13    1.08  46.99   6.14   5.74   4.39   4.23   7.31   6.77  19.47  17.57
 2017 024   117   46.30  22.06    1.34  43.42   6.14   5.74   4.40   4.23   7.17   6.64  19.07  15.01
 2017 025   118   46.45  20.87    1.26  43.81   6.16   5.76   4.41   4.25   7.26   6.73  21.95  16.33
 2017 026   119   49.00  14.34    0.91  48.55   6.18   5.78   4.41   4.25   7.17   6.65  23.49  20.61
 2017 027   120   48.70  15.53    0.99  48.16   6.17   5.78   4.40   4.23   6.89   6.39  18.09  15.55
 2017 028   121   49.17  13.55    0.87  48.97   6.17   5.78   4.40   4.23   5.11   4.73  13.54  11.06
 2017 029   122   49.50   8.39    0.54  49.50   6.19   5.80   4.41   4.24   4.74   4.40  12.80  10.26
 2017 030   123   45.80  22.20    1.34  42.91   6.20   5.81   4.41   4.24   5.33   4.94  15.19  10.91
 2017 031   124   45.97  21.50    1.33  43.19   6.27   5.88   4.43   4.27   5.81   5.40  18.21  11.88
 2017 032   125   46.07  22.10    1.34  43.34   6.32   5.92   4.45   4.28   6.93   6.44  20.66  14.06
 2017 033   126   46.64  20.72    1.24  44.45   6.36   5.95   4.46   4.29   7.46   6.93  22.80  17.28
 2017 034   127   46.13  21.90    1.30  43.59   6.35   5.95   4.45   4.28   7.42   6.90  23.08  18.04
 2017 035   128   46.28  21.29    1.27  44.01   6.35   5.95   4.44   4.28   7.52   6.99  22.19  17.82
 2017 036   129   47.08  19.49    1.18  45.53   6.35   5.96   4.44   4.27   7.56   7.03  21.77  17.71
 2017 037   130   45.85  21.28    1.26  43.56   6.35   5.96   4.43   4.27   7.29   6.79  24.16  18.49
 2017 038   131   46.53  19.39    1.16  44.81   6.34   5.96   4.44   4.27   7.15   6.66  25.47  20.86
 2017 039   132   47.13  18.42    1.12  45.90   6.34   5.96   4.43   4.27   7.29   6.79  24.14  20.52
 2017 040   133   45.54  21.09    1.25  43.46   6.33   5.95   4.42   4.26   7.34   6.85  23.58  19.30
 2017 041   134   44.67  23.65    1.41  42.17   6.33   5.96   4.42   4.26   7.58   7.07  20.19  15.01
 2017 042   135   44.75  23.00    1.35  42.34   6.37   5.99   4.44   4.28   7.33   6.85  23.54  17.20
 2017 043   136   44.73  23.08    1.35  42.41   6.39   6.01   4.44   4.28   7.45   6.96  23.17  17.58
 2017 044   137   45.62  20.66    1.22  43.83   6.40   6.02   4.44   4.28   7.30   6.82  24.66  19.92
 2017 045   138   47.28  18.00    1.09  46.40   6.39   6.02   4.43   4.28   7.34   6.86  24.21  20.09
 2017 046   139   47.43  17.51    1.07  46.69   6.39   6.02   4.42   4.27   7.35   6.87  24.11  21.05
 2017 047   140   43.91  23.99    1.41  41.69   6.38   6.02   4.41   4.26   6.68   6.24  17.71  12.99
 2017 048   141   43.89  22.52    1.37  41.70   6.43   6.06   4.41   4.26   6.09   5.69  20.85  13.10
 2017 049   142   48.94  13.51    0.83  48.89   6.46   6.09   4.41   4.26   7.69   7.19  21.54  16.30
 2017 050   143   45.46  20.60    1.21  43.97   6.46   6.09   4.40   4.25   7.38   6.90  24.44  20.09
 2017 051   144   43.68  23.09    1.33  41.66   6.45   6.09   4.38   4.23   7.28   6.80  25.31  19.78
 2017 052   145   48.13  15.32    0.93  47.90   6.45   6.09   4.37   4.22   7.43   6.95  23.89  19.99
 2017 053   146   48.47   9.13    0.56  48.47   6.45   6.09   4.35   4.20   7.76   7.25  20.75  17.67
 2017 054   147   47.62  16.03    0.97  47.32   6.44   6.09   4.33   4.18   7.43   6.95  23.62  18.59
 2017 055   148   44.15  20.79    1.21  42.58   6.44   6.09   4.31   4.17   7.09   6.63  26.54  22.87
 2017 056   149   44.23  21.08    1.23  42.76   6.43   6.09   4.30   4.15   7.36   6.87  24.11  20.53
 2017 057   150   42.18  24.43    1.40  40.26   6.43   6.09   4.28   4.14   7.39   6.91  23.64  18.78
 2017 058   151   43.80  20.83    1.20  42.30   6.45   6.11   4.27   4.13   7.05   6.58  26.85  21.43
 2017 059   152   44.71  19.35    1.12  43.55   6.45   6.11   4.25   4.11   6.90   6.44  28.12  23.56
 2017 060   153   42.55  22.08    1.25  40.84   6.45   6.11   4.24   4.10   6.93   6.47  27.78  22.94
 2017 061   154   42.44  22.86    1.30  40.74   6.46   6.12   4.23   4.09   7.17   6.69  25.71  21.50
 2017 062   155   41.95  24.37    1.39  40.22   6.46   6.13   4.21   4.07   7.53   7.03  22.34  18.16
 2017 063   156   41.76  24.59    1.41  40.03   6.48   6.14   4.20   4.06   7.49   6.99  21.90  16.08
 2017 064   157   43.51  22.36    1.29  42.11   6.52   6.18   4.20   4.06   7.58   7.07  22.40  18.70
 2017 065   158   45.10  20.25    1.18  44.23   6.52   6.19   4.18   4.04   7.56   7.04  22.54  18.10
 2017 066   159   43.96  21.15    1.22  42.78   6.52   6.19   4.16   4.03   7.35   6.85  24.28  18.72
 2017 067   160   44.32  20.28    1.17  43.30   6.52   6.19   4.15   4.01   7.18   6.69  25.73  20.66
 2017 068   161   43.67  20.63    1.18  42.51   6.52   6.19   4.13   4.00   7.04   6.56  26.77  21.34
 2017 069   162   41.31  23.86    1.34  39.73   6.52   6.20   4.12   3.98   7.31   6.81  24.30  20.30
 2017 070   163   40.70  24.08    1.34  39.10   6.52   6.20   4.10   3.97   7.02   6.54  26.69  21.47
 2017 071   164   46.34  15.31    0.91  46.31   6.52   6.20   4.08   3.95   7.26   6.76  24.44  21.11
 2017 072   165   46.44   9.95    0.59  46.44   6.51   6.20   4.06   3.93   7.44   6.93  22.51  19.70
 2017 073   166   41.56  23.68    1.34  40.15   6.51   6.20   4.04   3.91   7.29   6.79  18.82  16.65
 2017 074   167   40.21  23.67    1.36  38.67   6.53   6.22   4.03   3.90   4.64   4.32  14.09   9.59
 2017 075   168   40.25  22.63    1.37  38.73   6.69   6.37   4.06   3.93   4.44   4.14  16.07   9.66
 2017 076   169   41.41  24.55    1.41  39.96   6.79   6.47   4.08   3.94   7.13   6.64  19.86  13.42
 2017 077   170   41.02  26.16    1.47  39.57   6.88   6.55   4.09   3.95   7.82   7.29  21.91  15.96

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:30:15

*RUN   4        : Radiance                  CRGRO048 UFBA1701    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1701 SR 2017 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2017 274     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.90  27.29
 2017 275     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.58  25.53
 2017 276     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.48  24.85
 2017 277     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.31  25.76
 2017 278     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.04  24.94
 2017 279     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.38  27.20
 2017 280     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  31.77  28.76
 2017 281     8    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  31.05  27.84
 2017 282     9    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  31.76  27.99
 2017 283    10    0.33   0.15    0.01   0.30   7.29   7.27   4.59   4.58   5.74   5.72  31.43  27.80
 2017 284    11    4.15   1.54    0.09   3.97   7.27   7.25   4.58   4.57   5.88   5.86  29.98  26.29
 2017 285    12    4.12   1.66    0.09   3.85   7.26   7.24   4.57   4.56   5.94   5.93  29.23  24.88
 2017 286    13    4.46   1.56    0.09   4.30   7.24   7.22   4.56   4.55   5.87   5.86  29.77  26.47
 2017 287    14    4.63   1.57    0.09   4.48   7.23   7.21   4.55   4.54   5.93   5.91  29.11  25.71
 2017 288    15    4.65   1.63    0.09   4.43   7.21   7.19   4.54   4.53   5.79   5.78  30.31  26.35
 2017 289    16    4.48   1.83    0.10   4.07   7.19   7.17   4.53   4.52   5.78   5.77  30.26  26.41
 2017 290    17    5.27   1.03    0.06   5.27   7.18   7.16   4.52   4.51   6.28   6.26  25.22  23.39
 2017 291    18    5.03   1.65    0.10   4.85   7.15   7.13   4.50   4.50   6.00   5.98  27.79  24.39
 2017 292    19    4.91   1.87    0.10   4.52   7.10   7.08   4.50   4.49   5.85   5.84  28.83  24.78
 2017 293    20    5.07   1.92    0.11   4.68   7.05   7.03   4.49   4.48   5.86   5.84  28.34  24.88
 2017 294    21    5.65   1.93    0.11   5.32   6.90   6.88   4.49   4.48   5.71   5.70  28.54  24.74
 2017 295    22    6.28   1.83    0.11   6.11   6.75   6.73   4.48   4.47   5.45   5.44  29.99  26.30
 2017 296    23    6.86   1.68    0.10   6.80   6.64   6.62   4.48   4.47   5.41   5.39  29.57  26.40
 2017 297    24    7.08   2.13    0.13   6.90   6.54   6.51   4.47   4.46   5.73   5.71  25.04  21.29
 2017 298    25    7.04   3.18    0.17   6.15   6.39   6.37   4.46   4.45   5.97   5.94  19.82  15.31
 2017 299    26    7.49   3.46    0.19   6.50   6.44   6.41   4.48   4.46   5.98   5.95  20.29  15.20
 2017 300    27    7.99   3.53    0.19   7.01   6.49   6.45   4.48   4.46   5.78   5.75  23.89  18.29
 2017 301    28    9.37   1.72    0.11   9.37   6.49   6.46   4.47   4.46   5.78   5.75  23.96  19.94
 2017 302    29    9.10   3.87    0.22   8.38   6.37   6.33   4.44   4.43   5.21   5.18  17.23  13.52
 2017 303    30    9.57   4.34    0.24   8.61   6.44   6.40   4.48   4.46   5.20   5.17  17.85  12.94
 2017 304    31   10.12   4.48    0.25   9.15   6.51   6.47   4.48   4.47   5.72   5.68  20.89  14.65
 2017 305    32   10.77   4.32    0.25  10.02   6.55   6.51   4.48   4.46   5.85   5.81  23.84  18.77
 2017 306    33   11.34   4.74    0.27  10.38   6.52   6.47   4.47   4.45   5.68   5.63  25.45  20.08
 2017 307    34   12.25   4.26    0.25  11.75   6.49   6.44   4.47   4.45   5.62   5.57  25.89  21.48
 2017 308    35   12.71   5.15    0.29  11.70   6.39   6.33   4.46   4.43   5.51   5.46  26.02  21.51
 2017 309    36   13.45   5.52    0.31  12.37   6.31   6.25   4.46   4.43   5.53   5.47  25.08  20.50
