*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2014 329    56   29.26   4.11    0.27  29.26   6.20   6.01   4.43   4.35   6.51   6.30  23.82  21.74
 2014 330    57   29.77   5.88    0.39  29.77   6.14   5.95   4.40   4.32   6.21   6.00  18.19  14.08
 2014 331    58   28.88  12.62    0.76  26.32   6.13   5.93   4.42   4.34   5.55   5.36  16.99  12.42
 2014 332    59   29.50  12.62    0.76  26.82   6.19   5.99   4.44   4.36   4.29   4.14  13.49   9.89
 2014 333    60   29.95  13.00    0.79  27.44   6.31   6.10   4.46   4.37   6.18   5.96  18.14  13.33
 2014 334    61   30.50  12.47    0.76  28.33   6.36   6.14   4.46   4.37   6.95   6.70  21.02  16.69
 2014 335    62   31.30  11.28    0.70  29.88   6.36   6.13   4.46   4.36   6.91   6.64  21.56  17.93
 2014 336    63   32.53   9.54    0.62  32.03   6.34   6.10   4.45   4.35   6.90   6.62  21.40  18.99
 2014 337    64   32.73  10.86    0.69  31.68   6.27   6.03   4.44   4.34   6.73   6.45  22.31  19.42
 2014 338    65   32.97  12.59    0.77  30.99   6.21   5.96   4.45   4.34   6.62   6.33  22.91  19.39
 2014 339    66   33.87  11.90    0.75  32.41   6.18   5.92   4.45   4.34   6.61   6.31  22.59  19.84
 2014 340    67   34.43  12.28    0.76  32.72   6.13   5.86   4.45   4.33   6.38   6.07  24.44  21.00
 2014 341    68   36.50   7.71    0.51  36.44   6.09   5.81   4.45   4.33   6.73   6.40  20.22  17.37
 2014 342    69   37.00   4.53    0.30  37.00   6.06   5.77   4.43   4.32   5.64   5.35  16.43  14.72
 2014 343    70   35.79  14.06    0.87  33.65   6.05   5.77   4.42   4.30   5.35   5.07  15.60  12.89
 2014 344    71   36.15  14.82    0.93  33.36   6.11   5.82   4.47   4.34   4.53   4.30  14.83  10.41
 2014 345    72   36.57  14.77    0.93  33.84   6.19   5.89   4.48   4.35   4.43   4.21  14.47  10.12
 2014 346    73   38.67   7.93    0.53  38.64   6.27   5.97   4.49   4.36   4.06   3.85  12.06   9.62
 2014 347    74   37.20  15.57    0.98  34.36   6.30   5.99   4.49   4.36   5.11   4.84  16.18  11.24
 2014 348    75   37.58  15.52    0.98  34.76   6.36   6.04   4.50   4.37   5.10   4.82  16.53  11.18
 2014 349    76   37.97  15.33    0.99  35.15   6.41   6.08   4.51   4.37   5.07   4.79  17.28  11.24
 2014 350    77   38.39  15.53    0.98  35.88   6.46   6.12   4.51   4.37   6.17   5.83  18.32  12.98
 2014 351    78   39.18  14.03    0.90  37.59   6.49   6.14   4.52   4.37   6.89   6.50  19.21  14.63
 2014 352    79   39.11  16.10    1.01  36.47   6.50   6.14   4.52   4.36   5.55   5.23  16.56  11.75
 2014 353    80   39.53  16.18    1.01  37.04   6.54   6.17   4.53   4.37   6.88   6.47  19.12  14.41
 2014 354    81   39.91  15.99    1.00  37.48   6.56   6.18   4.53   4.37   7.11   6.68  21.67  17.02
 2014 355    82   42.01  10.68    0.71  41.71   6.56   6.17   4.53   4.36   7.06   6.62  22.28  18.60
 2014 356    83   42.43  10.47    0.69  42.14   6.53   6.13   4.51   4.35   6.87   6.43  23.73  21.09
 2014 357    84   42.57  11.49    0.75  42.07   6.48   6.08   4.50   4.34   6.73   6.29  24.63  21.82
 2014 358    85   43.62   8.97    0.60  43.54   6.44   6.04   4.50   4.33   6.77   6.32  23.85  21.08
 2014 359    86   43.79  11.09    0.74  43.56   6.41   6.00   4.48   4.31   6.01   5.60  16.52  14.18
 2014 360    87   44.09  10.93    0.73  43.88   6.42   6.01   4.49   4.32   6.58   6.14  18.25  14.84
 2014 361    88   43.44  13.40    0.87  42.49   6.42   6.01   4.49   4.32   6.82   6.35  23.06  19.99
 2014 362    89   42.87  15.65    0.98  40.91   6.40   5.98   4.48   4.31   6.79   6.31  23.16  19.45
 2014 363    90   43.46  14.96    0.95  41.92   6.39   5.97   4.48   4.31   6.82   6.33  22.78  19.11
 2014 364    91   45.37   4.59    0.31  45.37   6.38   5.96   4.47   4.30   6.78   6.30  19.02  17.78
 2014 365    92   45.59   5.90    0.40  45.59   6.36   5.95   4.45   4.28   6.11   5.67  16.99  16.02
 2015 001    93   45.38  11.75    0.78  45.08   6.35   5.94   4.45   4.28   7.04   6.53  20.04  17.40
 2015 002    94   44.88  13.47    0.87  44.08   6.34   5.93   4.45   4.28   6.75   6.26  22.95  20.01
 2015 003    95   44.35  14.83    0.94  42.84   6.32   5.91   4.44   4.27   6.51   6.03  25.14  22.50
 2015 004    96   43.93  16.75    1.04  41.60   6.30   5.89   4.44   4.27   6.51   6.04  24.89  21.68
 2015 005    97   45.42  13.99    0.91  44.65   6.29   5.87   4.44   4.26   6.94   6.43  20.37  17.29
 2015 006    98   44.54  16.47    1.04  42.66   6.29   5.87   4.43   4.26   6.79   6.28  21.94  17.52
 2015 007    99   44.12  19.63    1.21  41.23   6.30   5.88   4.44   4.26   5.79   5.36  16.72  12.73
 2015 008   100   44.43  17.76    1.12  41.82   6.36   5.93   4.46   4.29   4.01   3.72  13.06   9.14
 2015 009   101   46.67  13.80    0.90  46.20   6.44   6.00   4.49   4.31   4.80   4.45  13.48  10.86
 2015 010   102   44.99  17.89    1.12  42.84   6.49   6.05   4.49   4.31   5.21   4.83  15.38  11.15
 2015 011   103   46.13  15.68    1.00  44.94   6.54   6.09   4.50   4.31   7.09   6.56  21.77  17.04
 2015 012   104   47.89   8.04    0.53  47.89   6.55   6.10   4.49   4.30   7.07   6.54  21.95  19.60
 2015 013   105   46.46  15.56    0.99  45.40   6.53   6.08   4.47   4.28   7.09   6.56  21.58  18.45
 2015 014   106   48.17   8.12    0.54  48.17   6.52   6.07   4.49   4.30   6.37   5.90  17.29  15.81
 2015 015   107   48.22   5.59    0.37  48.22   6.51   6.07   4.47   4.28   5.12   4.74  13.80  12.66
 2015 016   108   45.43  19.14    1.18  43.19   6.51   6.07   4.46   4.28   6.20   5.73  16.94  13.41
 2015 017   109   45.29  20.21    1.25  42.67   6.56   6.11   4.50   4.31   6.63   6.14  18.86  13.71
 2015 018   110   46.50  17.95    1.13  44.91   6.61   6.15   4.51   4.32   6.84   6.33  18.43  15.03
 2015 019   111   45.43  21.80    1.34  42.60   6.63   6.17   4.51   4.32   6.38   5.91  17.84  13.12
 2015 020   112   49.35  10.82    0.71  49.32   6.69   6.22   4.54   4.34   6.67   6.18  17.97  13.79
 2015 021   113   46.28  19.32    1.19  44.17   6.69   6.22   4.53   4.33   7.23   6.69  21.89  16.89
 2015 022   114   46.50  19.10    1.17  44.49   6.70   6.23   4.54   4.34   7.17   6.63  22.62  18.16
 2015 023   115   48.64  15.30    0.98  48.00   6.70   6.23   4.53   4.33   7.20   6.65  22.40  19.73
 2015 024   116   48.42  16.57    1.05  47.64   6.69   6.22   4.51   4.31   6.56   6.06  17.48  13.75
 2015 025   117   45.83  21.71    1.33  43.11   6.70   6.22   4.51   4.32   5.04   4.66  14.90  10.53
 2015 026   118   46.31  21.38    1.30  43.99   6.76   6.28   4.53   4.33   6.06   5.61  15.77  13.20
 2015 027   119   45.93  22.09    1.35  43.24   6.80   6.32   4.52   4.32   5.19   4.80  15.21  10.67
 2015 028   120   45.94  23.12    1.40  43.18   6.85   6.37   4.53   4.33   5.23   4.83  14.42  10.72
 2015 029   121   46.07  22.81    1.40  43.40   6.93   6.44   4.53   4.32   6.10   5.63  17.51  12.07
 2015 030   122   46.85  21.09    1.29  44.76   6.97   6.47   4.53   4.32   6.29   5.81  17.41  12.32
 2015 031   123   46.37  22.86    1.39  43.89   7.00   6.50   4.52   4.32   6.80   6.28  18.18  13.18
 2015 032   124   46.34  23.46    1.42  43.81   7.03   6.53   4.52   4.31   7.73   7.13  20.25  15.35
 2015 033   125   50.42  15.73    1.00  50.02   7.05   6.55   4.51   4.30   7.79   7.19  20.21  15.58
 2015 034   126   46.70  22.07    1.35  44.47   7.05   6.54   4.50   4.29   5.51   5.08  15.84  10.90
 2015 035   127   49.05  19.08    1.18  47.98   7.09   6.58   4.50   4.29   7.85   7.23  20.24  16.15
 2015 036   128   51.35   9.00    0.57  51.35   7.09   6.58   4.48   4.27   7.31   6.73  18.34  14.93
 2015 037   129   46.08  24.93    1.49  43.67   7.08   6.58   4.47   4.26   6.45   5.94  16.39  12.70
 2015 038   130   46.13  24.85    1.49  43.80   7.12   6.62   4.46   4.25   7.20   6.62  18.45  13.80
 2015 039   131   46.38  24.07    1.45  44.21   7.15   6.65   4.46   4.25   7.82   7.19  20.11  15.01
 2015 040   132   51.74   8.17    0.52  51.74   7.17   6.66   4.45   4.24   7.74   7.12  19.36  15.94
 2015 041   133   46.13  25.07    1.49  43.98   7.16   6.66   4.44   4.23   6.33   5.82  15.87  12.44
 2015 042   134   45.88  26.04    1.56  43.71   7.20   6.69   4.43   4.22   6.60   6.07  16.90  12.61
 2015 043   135   46.07  24.83    1.50  44.00   7.23   6.72   4.43   4.22   5.81   5.34  16.06  11.15
 2015 044   136   45.94  24.70    1.49  43.89   7.28   6.76   4.43   4.21   4.50   4.13  12.59   8.99
 2015 045   137   45.99  24.40    1.50  44.00   7.37   6.85   4.43   4.22   4.68   4.29  13.97   9.23
 2015 046   138   46.33  25.51    1.53  44.45   7.44   6.91   4.44   4.22   7.33   6.73  18.92  13.35
 2015 047   139   48.22  23.13    1.39  46.73   7.46   6.93   4.43   4.21   8.17   7.50  19.87  15.08
 2015 048   140   51.01  19.19    1.17  50.40   7.46   6.93   4.42   4.20   8.12   7.44  21.43  17.47
 2015 049   141   45.70  27.02    1.60  43.91   7.45   6.93   4.41   4.19   5.66   5.19  13.78  10.98
 2015 050   142   45.59  22.58    1.38  43.86   7.53   7.00   4.41   4.19   2.97   2.73   9.37   6.37
 2015 051   143   45.70  20.05    1.34  44.03   7.63   7.09   4.42   4.20   2.78   2.55  11.66   6.41
 2015 052   144   47.80  24.07    1.44  46.34   7.70   7.16   4.43   4.20   6.98   6.40  18.40  12.45
 2015 053   145   49.08  22.63    1.34  47.88   7.72   7.18   4.42   4.20   8.22   7.53  22.93  18.33
 2015 054   146   47.31  24.42    1.44  45.85   7.72   7.17   4.41   4.18   8.21   7.52  22.88  19.11
 2015 055   147   50.63  20.93    1.26  49.92   7.71   7.17   4.39   4.16   8.42   7.71  21.05  19.07
 2015 056   148   52.47  15.23    0.93  52.44   7.69   7.16   4.37   4.15   8.19   7.50  22.75  19.46
 2015 057   149   52.48  13.20    0.81  52.48   7.68   7.16   4.35   4.13   8.45   7.73  19.87  16.78
 2015 058   150   52.37  10.09    0.62  52.37   7.67   7.15   4.33   4.11   6.35   5.81  14.59  13.23
 2015 059   151   52.30   3.94    0.24  52.30   7.67   7.15   4.32   4.10   7.49   6.85  17.37  15.22
 2015 060   152   47.97  22.65    1.32  46.80   7.66   7.15   4.30   4.09   7.78   7.11  25.70  22.04
 2015 061   153   48.80  21.95    1.29  47.82   7.65   7.14   4.29   4.07   7.81   7.13  25.26  21.92
 2015 062   154   47.57  23.42    1.36  46.36   7.64   7.12   4.28   4.06   7.83   7.14  24.94  20.76
 2015 063   155   46.30  24.59    1.42  44.99   7.63   7.12   4.27   4.05   7.71   7.03  25.78  21.07
 2015 064   156   48.35  22.94    1.34  47.29   7.63   7.11   4.26   4.04   7.77   7.07  25.30  21.60
 2015 065   157   50.04  21.50    1.26  49.38   7.62   7.11   4.24   4.03   7.91   7.19  23.94  19.12
 2015 066   158   50.89  20.89    1.24  50.50   7.62   7.10   4.23   4.02   8.27   7.51  19.75  15.90
 2015 067   159   46.32  25.62    1.48  45.07   7.62   7.11   4.22   4.01   8.03   7.29  22.85  18.79
 2015 068   160   46.28  25.30    1.45  45.06   7.62   7.11   4.21   3.99   7.82   7.10  24.49  19.90
 2015 069   161   45.70  25.24    1.44  44.47   7.62   7.11   4.19   3.98   7.56   6.85  26.56  22.50
 2015 070   162   49.83  21.04    1.23  49.21   7.61   7.11   4.17   3.96   7.46   6.76  27.16  23.26
 2015 071   163   45.63  25.00    1.43  44.43   7.61   7.10   4.16   3.95   7.47   6.77  26.88  23.83
 2015 072   164   45.54  25.33    1.44  44.34   7.60   7.10   4.14   3.93   7.55   6.84  26.06  22.55
 2015 073   165   45.58  25.06    1.42  44.40   7.59   7.10   4.12   3.91   7.46   6.75  26.64  22.88
 2015 074   166   44.60  26.38    1.49  43.44   7.58   7.10   4.10   3.90   7.58   6.86  25.40  21.53
 2015 075   167   43.77  27.16    1.53  42.69   7.58   7.09   4.08   3.88   7.46   6.74  26.24  21.63
 2015 076   168   43.35  28.31    1.60  42.33   7.58   7.10   4.07   3.87   7.62   6.89  24.78  20.83
 2015 077   169   44.76  25.86    1.46  43.63   7.58   7.10   4.06   3.86   7.39   6.67  26.63  22.58
 2015 078   170   46.70  24.51    1.39  45.67   7.58   7.10   4.05   3.85   7.48   6.75  25.73  21.85
 2015 079   171   43.75  27.45    1.54  42.69   7.57   7.09   4.03   3.83   7.53   6.79  25.11  20.98
 2015 080   172   44.40  26.54    1.49  43.29   7.57   7.10   4.02   3.82   7.44   6.70  25.73  21.00
 2015 081   173   46.09  25.29    1.42  45.04   7.57   7.10   4.00   3.80   7.51   6.76  25.01  20.63
 2015 082   174   51.25  16.28    0.95  51.26   7.57   7.10   3.99   3.79   7.71   6.94  23.09  20.76
 2015 083   175   48.28  23.27    1.32  47.63   7.56   7.10   3.94   3.75   7.54   6.78  23.96  20.71
 2015 084   176   46.70  24.18    1.36  45.79   7.55   7.09   3.91   3.72   7.30   6.56  25.48  21.41
 2015 085   177   46.13  24.25    1.35  45.16   7.55   7.10   3.88   3.69   7.15   6.41  26.45  22.10
 2015 086   178   50.52  14.68    0.85  50.52   7.55   7.10   3.86   3.67   7.48   6.70  23.26  19.75
 2015 087   179   42.86  28.74    1.60  41.78   7.53   7.09   3.83   3.64   6.85   6.14  17.43  13.85
